Animal-Animal ID,Animal-Birth ID 1,Animal-BW 1-Value,Animal-BW 1-Reliability,Animal-PW-Value,Animal-PW-Reliability,Animal-A2 Status,Animal-Calving Date,Animal-Custom: Animal Fate (died),Pre-Calving-Expected Calving Date,Dam-Cow No.,Dam-Official ID,Sire-Name,Sire-Sire ID,Calf-Birth ID 2,Calf-Birth Date,Calf-BW 2-Value,Calf-BW 2-Reliability,Calf-Sex,Calf-Fate
195,MRFT-14-103,78,56,-44,68,A1/A2,25 Aug 2020,,,,MRFT-10-102,CUTFORTHS LORD BRIAN,506063,PQVV-20-23,25 Aug 2020,193,29,F,Reared
204,MQVR-13-45,226,57,363,72,A1/A2,25 Aug 2020,,,,HJTQ-06-147,ARKANS PROMOTER,510003,,25 Aug 2020,,,M,Bobbied
248,PQVV-16-22,197,53,337,56,A2/A2,25 Aug 2020,,,,HJTQ-11-70,OKURA LT INTEGRITY,311013,PQVV-20-131,25 Aug 2020,258,28,M,Reared
260,MRFT-14-37,99,35,152,61,A1/A2,25 Aug 2020,,,,MRFT-07-70,,,,25 Aug 2020,,,M,Bobbied
265,PQVV-15-43,135,51,111,60,A1/A2,25 Aug 2020,,,,MRFT-09-34,HILLSTAR LOT JESTER S3J,308128,PQVV-20-24,25 Aug 2020,83,13,F,Reared
407,PQVV-14-65,170,57,156,66,,25 Aug 2020,,,,HJTQ-08-201,HOWIES CHECKPOINT,508077,,25 Aug 2020,,,M,Bobbied
476,PQVV-17-1,189,52,70,42,A2/A2,25 Aug 2020,,,,MQVR-09-7,LYNBROOK GG QUICKSILVER,312059,,25 Aug 2020,,,F,Died
498,PQVV-18-106,139,22,152,8,A1/A2,25 Aug 2020,,,25,PQVV-16-70,,HKYM-16-40,,25 Aug 2020,,,F,Bobbied
498,PQVV-18-106,139,22,152,8,A1/A2,25 Aug 2020,,,25,PQVV-16-70,,HKYM-16-40,,25 Aug 2020,,,F,Died
60,PQVV-17-9,165,52,130,41,,26 Aug 2020,,,213,PQVV-13-1,OKURA GOLDIE INDEX,312034,PQVV-20-25,26 Aug 2020,242,28,F,Reared
87,PQVV-17-30,241,52,182,42,A1/A2,26 Aug 2020,,,,PQVV-14-76,OKURA LT INTEGRITY,311013,,26 Aug 2020,,,F,Bobbied
87,PQVV-17-30,241,52,182,42,A1/A2,26 Aug 2020,,,,PQVV-14-76,OKURA LT INTEGRITY,311013,,26 Aug 2020,,,M,Bobbied
92,MQVR-16-28,174,57,147,60,A1/A2,26 Aug 2020,,,,MQVR-10-60,LYNBROOK TERRIFIC ET S3J,309084,PQVV-20-27,26 Aug 2020,252,36,F,Reared
109,PQVV-18-5,150,45,124,16,A2/A2,26 Aug 2020,,,,HJTQ-06-347,BELLS CM CONRAD S2J,312057,,26 Aug 2020,,,M,Bobbied
132,PQVV-17-45,247,52,287,41,A2/A2,26 Aug 2020,,,,PQVV-14-7,OKURA LT INTEGRITY,311013,PQVV-20-130,26 Aug 2020,274,28,M,Reared
141,WTNG-14-13,148,57,164,66,A1/A2,26 Aug 2020,,,,HJTQ-10-6,HOWIES CHECKPOINT,508077,,26 Aug 2020,,,M,Bobbied
185,PQVV-17-28,205,52,311,41,A2/A2,26 Aug 2020,,,,WTNG-14-21,BELLS CM CONRAD S2J,312057,,26 Aug 2020,,,M,Bobbied
254,PQVV-18-159,193,27,161,10,A2/A2,26 Aug 2020,,,411,PQVV-16-34,,HKYM-16-143,,26 Aug 2020,,,M,Bobbied
302,PQVV-14-27,166,56,198,66,A1/A2,26 Aug 2020,,,,HJTQ-07-35,ARKANS PROMOTER,510003,PQVV-20-26,26 Aug 2020,234,28,F,Reared
400,PQVV-18-37,167,37,200,14,A2/A2,26 Aug 2020,,,,MRFT-10-3,OKURA OLM KAINO ET,313046,,26 Aug 2020,,,M,Bobbied
408,PQVV-18-96,152,42,200,15,A1/A2,26 Aug 2020,,,,MRFT-14-99,BONACORD MURMUR BOLT,313016,,26 Aug 2020,,,M,Bobbied
38,PQWH-12-61,135,58,131,73,A1/A2,27 Aug 2020,,,,HJTQ-09-185,RIVERVIEW RAIDER,511031,,27 Aug 2020,,,M,Bobbied
49,PQVV-14-88,121,54,226,66,A1/A2,27 Aug 2020,,,,HJTQ-10-109,CUTFORTHS LORD BRIAN,506063,,27 Aug 2020,,,M,Bobbied
106,PQVV-17-39,189,46,330,40,A2/A2,27 Aug 2020,,,,PQVV-14-58,OKURA GOLDIE INDEX,312034,PQVV-20-129,27 Aug 2020,245,25,M,Reared
139,PQVV-18-64,182,44,181,16,A2/A2,27 Aug 2020,,,107,WTNG-14-53,BELLS CM CONRAD S2J,312057,,27 Aug 2020,,,M,Bobbied
229,MRFT-12-72,150,59,125,72,A1/A2,27 Aug 2020,,,,CRYR-04-9,ST PETERS OBSIDIAN,510016,PQVV-20-32,27 Aug 2020,234,29,F,Reared
256,PQVV-17-3,173,47,147,40,A1/A2,27 Aug 2020,,,,PQVV-14-91,OKURA LT INTEGRITY,311013,PQVV-20-30,27 Aug 2020,251,33,F,Reared
295,MQVR-17-34,247,52,199,42,A1/A2,27 Aug 2020,,,,HJTQ-09-31,OKURA LT INTEGRITY,311013,,27 Aug 2020,,,M,Bobbied
347,WTNG-14-65,94,50,64,58,A1/A2,27 Aug 2020,,,,MQVR-11-83,HOWIES CHECKPOINT,508077,,27 Aug 2020,,,M,Bobbied
366,MRFT-12-13,210,59,422,73,A1/A2,27 Aug 2020,,,,FVVY-04-187,ST PETERS OBSIDIAN,510016,,27 Aug 2020,,,M,Bobbied
390,PQVV-12-105,134,57,-13,71,A1/A2,27 Aug 2020,,,,HJTQ-06-167,WAIWIRA WARLORD,511038,PQVV-20-31,27 Aug 2020,232,36,F,Reared
392,PQVV-18-147,162,27,156,10,A1/A1,27 Aug 2020,,,457,PQVV-16-39,,HKYM-16-89,,27 Aug 2020,,,M,Bobbied
398,WTNG-15-72,87,21,248,50,A1/A2,27 Aug 2020,,,,,,,PQVV-20-29,27 Aug 2020,195,19,F,Reared
420,MRFT-14-98,131,55,224,65,A1/A2,27 Aug 2020,,,,MQVR-08-69,CUTFORTHS LORD BRIAN,506063,,27 Aug 2020,,,M,Bobbied
423,PQVV-14-120,34,22,126,55,A1/A2,27 Aug 2020,,,,,,,PQVV-20-128,27 Aug 2020,165,21,M,Reared
424,PQVV-18-154,184,28,172,10,A2/A2,27 Aug 2020,,,202,PQVV-16-62,,HKYM-16-24,,27 Aug 2020,,,M,Bobbied
455,PQVV-16-11,163,54,180,59,A1/A2,27 Aug 2020,,,213,PQVV-13-1,BOURKES LRT RIPPER,311044,,27 Aug 2020,,,M,Bobbied
